x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,y
-1.029,0,0.35209,2,-1.2165,2,7,1,4,1,-0.14543,-0.21916,-0.078886,0,-1
-0.057421,0,-0.94496,3,-0.43488,0,9,2,0,1,-0.14543,-0.21916,0.75011,0,-1
-0.80477,4,1.395,5,0.73757,0,12,2,0,1,-0.14543,-0.21916,-0.078886,0,1
0.39099,0,-0.27736,1,-0.044064,0,7,2,4,1,0.8526,-0.21916,-0.078886,0,1
-0.35636,0,0.085941,12,-1.6073,2,2,3,0,1,-0.14543,-0.21916,-0.90788,0,-1
1.8109,1,-0.80472,4,1.91,0,5,2,0,1,0.25739,-0.21916,-0.74208,0,1
-1.1037,0,1.7048,1,-0.044064,2,2,5,0,0,-0.14543,-0.21916,-0.078886,0,-1
1.2131,0,-0.80122,8,-2.389,0,1,2,0,1,-0.14543,-0.21916,-2.5659,0,-1
1.9604,0,-0.048879,3,-0.43488,0,7,2,0,1,0.68773,-0.21916,-0.078886,0,1
-0.20689,3,0.21634,0,1.1284,0,8,2,0,1,-0.14543,-0.21916,-0.078886,0,-1
-0.95424,0,-1.0181,3,-0.43488,2,8,3,0,0,-0.14543,-0.21916,-0.16179,0,-1
0.68993,0,0.85317,3,-0.43488,0,7,2,0,1,0.25739,-0.21916,0.58431,0,1
0.31625,0,1.4825,10,1.5192,0,4,2,0,1,-0.14543,-0.21916,0.75011,0,1
-1.4026,5,2.4138,1,-0.044064,2,2,1,0,1,-0.14543,-0.21916,-1.3224,0,-1
0.31625,0,-0.58005,3,-0.43488,0,8,0,0,0,-0.14543,-0.21916,-0.90788,0,-1
-0.13216,0,-1.2221,3,-0.43488,4,7,5,0,0,-0.14543,-0.21916,-1.7369,0,-1
-0.35636,0,-0.77359,0,1.1284,0,0,2,0,1,-0.14543,-0.21916,0.50141,0,1
-0.35636,0,0.46368,1,-0.044064,2,2,1,4,0,-0.14543,-0.21916,-0.49338,0,-1
-1.029,0,0.2965,0,1.1284,2,5,3,0,1,-0.14543,-0.21916,0.16981,38,-1
-1.029,0,0.15462,0,1.1284,0,5,2,0,1,-0.14543,-0.21916,-0.078886,0,-1
0.46572,1,2.3028,3,-0.43488,0,1,2,0,1,0.80197,-0.21916,4.0661,0,1
-1.2532,0,0.44322,3,-0.43488,2,8,1,0,1,-0.14543,-0.21916,-1.7369,0,-1
-1.1784,0,-0.52237,3,-0.43488,3,7,5,4,1,-0.14543,-0.21916,1.0817,0,-1
1.1383,0,-0.8531,3,-0.43488,0,1,2,0,1,-0.14543,-0.21916,-0.49338,0,-1
-0.50583,1,-0.76063,1,-0.044064,2,5,3,0,1,-0.14543,-0.21916,1.5791,0,-1
0.54046,5,-0.78751,1,-0.044064,0,4,2,4,1,0.8526,-0.21916,-0.24468,0,1
1.2878,1,-0.028077,2,-1.2165,4,2,5,0,0,-0.14543,-0.21916,0.75011,0,-1
-1.1037,1,-0.01271,0,1.1284,2,3,3,0,1,-0.14543,-0.21916,0.75011,0,-1
-1.1784,4,0.64862,1,-0.044064,0,12,2,0,1,-0.14543,-0.21916,-0.078886,0,-1
-0.95424,0,-1.3853,3,-0.43488,1,4,5,0,0,-0.14543,-0.21916,-0.078886,0,-1
-0.20689,4,2.0268,0,1.1284,0,5,2,0,1,-0.14543,-0.21916,-0.078886,0,1
-1.2532,0,0.55702,14,-2.7798,2,11,3,0,1,-0.14543,-0.21916,0.75011,31,-1
-1.6268,0,0.7557,12,-1.6073,2,7,3,0,1,-0.14543,-0.21916,-0.078886,0,-1
-1.4026,0,0.64283,3,-0.43488,2,1,1,0,1,-0.14543,-0.21916,-0.078886,0,-1
1.9604,0,-0.50402,10,1.5192,0,5,2,0,1,-0.14543,-0.21916,0.75011,0,1
0.39099,2,-0.65653,6,0.34675,0,3,2,0,1,-0.14543,-0.21916,0.33561,0,1
-0.20689,0,2.6105,3,-0.43488,0,9,2,0,1,-0.14543,-0.21916,-0.078886,0,-1
-0.73003,0,-0.81411,2,-1.2165,0,2,2,0,1,-0.14543,-0.21916,-0.078886,0,-1
-1.4026,5,-0.48521,1,-0.044064,2,9,1,0,1,-0.14543,-0.21916,-0.74208,0,-1
-0.80477,0,0.50386,6,0.34675,0,5,0,0,0,-0.14543,-0.21916,-0.41048,0,1
0.017314,0,0.95244,8,-2.389,0,1,2,0,1,-0.14543,-0.21916,-0.078886,20,-1
1.1383,0,-0.031666,1,-0.044064,0,10,2,0,1,0.36189,-0.21916,0.75011,0,-1
0.98886,0,0.10837,2,-1.2165,3,11,3,4,0,-0.14543,-0.21916,-1.9027,0,-1
