x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,y
0.042795,5,-1.0627,0,1.1289,2,8,3,0,1,0.14609,-0.21858,-0.077733,0,-1
0.88027,1,-1.0079,0,1.1289,0,4,2,0,1,-0.14744,-0.21858,-2.3315,0,-1
-0.033339,0,0.24469,3,-0.43973,1,6,3,0,1,-0.14744,-0.21858,-0.077733,0,-1
1.1087,0,0.42523,2,-1.224,0,6,2,4,1,-0.14744,-0.21858,-0.077733,0,-1
-0.79468,0,1.4066,0,1.1289,0,5,0,4,0,-0.14744,-0.21858,-0.077733,12,-1
-0.10947,0,0.89717,10,1.5211,0,4,0,0,0,-0.14744,-0.21858,-0.077733,0,-1
0.80414,0,-0.28023,7,-2.0084,5,2,3,4,0,-0.14744,-0.21858,-2.0811,18,-1
1.0325,1,0.18786,3,-0.43973,0,4,2,0,1,-0.14744,-0.21858,0.33963,0,1
-0.56628,0,-1.3631,10,1.5211,2,5,3,0,0,1.7542,-0.21858,0.75699,0,1
0.2712,0,-0.28721,0,1.1289,0,4,2,0,1,0.55169,-0.21858,-0.077733,0,1
-0.10947,0,0.85819,1,-0.047573,0,4,2,4,1,-0.14744,-0.21858,3.2612,0,1
-0.64241,5,-0.45902,0,1.1289,0,5,2,1,1,-0.14744,-0.21858,-0.077733,7,1
-1.1754,0,-0.63909,0,1.1289,2,8,1,0,0,-0.14744,-0.21858,-0.91246,0,-1
-0.49015,0,0.14411,5,0.73674,2,3,3,4,1,-0.14744,-0.21858,0.75699,0,-1
-0.33788,0,0.52713,8,-2.4005,0,10,2,2,1,-0.14744,-0.21858,0.33963,20,-1
-1.0231,1,-0.1234,3,-0.43973,2,9,1,0,1,-0.14744,-0.21858,-0.4951,0,-1
-0.49015,0,-0.028109,3,-0.43973,2,7,5,0,1,-0.14744,-0.21858,-0.077733,0,-1
-0.033339,0,-1.523,2,-1.224,0,3,2,0,1,-0.14744,-0.21858,0.75699,0,-1
0.34733,1,0.96903,10,1.5211,1,4,5,0,0,-0.14744,-0.21858,0.33963,0,1
0.11893,0,0.035306,13,2.3054,0,5,2,0,1,-0.14744,-0.21858,1.5917,0,1
1.1848,0,1.0634,3,-0.43973,3,2,5,4,0,-0.14744,-0.21858,-1.7472,0,-1
-0.26174,3,-1.0691,7,-2.0084,0,9,2,4,1,-0.14744,-0.21858,-0.077733,0,-1
0.34733,0,-0.68864,2,-1.224,0,10,2,0,1,-0.14744,4.8321,-0.077733,0,-1
1.5655,0,-0.76457,3,-0.43973,1,0,5,0,0,-0.14744,-0.21858,-0.077733,0,-1
1.3371,4,0.25609,0,1.1289,0,0,2,0,1,-0.14744,-0.21858,-0.077733,0,1
-1.4799,0,-0.20349,3,-0.43973,2,1,1,0,1,-0.14744,-0.21858,-0.077733,0,-1
0.042795,0,1.6797,3,-0.43973,1,4,3,0,1,-0.14744,-0.21858,3.2612,0,-1
0.80414,0,0.03381,3,-0.43973,0,1,2,0,1,-0.14744,-0.21858,-0.077733,0,-1
-1.1754,4,0.008662,5,0.73674,2,12,3,0,1,-0.14744,-0.21858,0.92394,0,-1
-1.4038,0,0.72143,1,-0.047573,2,3,1,4,1,-0.14744,-0.21858,0.25616,0,-1
0.4996,0,1.866,0,1.1289,1,4,1,0,1,-0.14744,3.264,-0.077733,0,-1
-0.64241,3,-1.229,1,-0.047573,0,8,1,0,1,-0.14744,-0.21858,-0.077733,0,-1
-1.2515,5,1.1521,1,-0.047573,0,2,2,4,1,-0.14744,-0.21858,-2.1645,0,-1
